qid	type	label
Q100155040	loge	Loja Maçônica Amor e Concórdia
Q100257027	loge	
Q100433461	obédience	Provinciale Grootloge Suriname
Q100433520	loge	Loge De Gouden Driehoek
Q100433670	loge	Loge De Stanfaste
Q100458057	loge	Loge La Zélée
Q100605053	loge	Loge L'Union
Q100605070	loge	Loge Saint Jean de la Réunion
Q100697465	loge	Loge La Solitaire
Q100698631	loge	Loge De Standvastigheid
Q100698704	loge	Loge Cura et Vigilantia
Q100708706	loge	Lodge Obadiah
Q101444484	loge	Loge zur Aufgehenden Morgenröthe
Q10285697	loge	Fraternidade Cearense
Q10290955	obédience	Grande Loge féminine du Portugal
Q10290983	loge	Grande Oriente do Brasil do Estado do Ceará
Q10372582	obédience	Sociedade Amor da Pátria
Q103967318	loge	Grande Benemérita Loja Simbólica Amazonas N.º 2
Q104002132	loge	Loja Esperança e Porvir
Q1041489	loge	Carl zur Eintracht
Q104154822	loge	Loja Maçônica Firmeza e Humanidade
Q104162979	loge	Lodge Zur Weltkugel, Lübeck
Q104891413	loge	
Q105208216	loge	loge Arts et Commerce
Q105530754	loge	Old Ashville Masonic Lodge and Mattie Lou Teague Crow Museum
Q105750549	obédience	Grand Lodge of New Jersey
Q10659397	loge	
Q106606945	loge	Loge maçonnique la concorde
Q106766892	loge	
Q106798046	loge	Szczęśliwe Oswobodzenie
Q106803574	loge	
Q106804752	loge	
Q106843783	loge	
Q10685019	obédience	Svenska frimurare orden
Q106867366	loge	
Q107630743	loge	Jephtha Masonic Lodge No. 494
Q107671306	loge	
Q108001218	loge	Grand Lodge of Belarus
Q108315988	loge	Doskonała Jedność
Q108316464	loge	
Q108370382	loge	
Q108818201	loge	
Q108860566	loge	La Clémente Amitié
Q108934070	loge	Isaac Newton University Lodge
Q109643890	loge	
Q110020679	loge	
Q1106935	obédience	Grand Orient du Brésil
Q110751349	loge	
Q11105088	obédience	
Q111846323	loge	
Q111983615	loge	Johannis-Freimaurerloge “Zum Morgenstern” e.V.
Q113006040	loge	Loge Szechwan nº 4
Q113066202	loge	Big Bear Masonic Lodge No. 617
Q113408226	obédience	
Q113480343	obédience	Grand Lodge of Illinois
Q113550464	loge	
Q113633473	loge	Loge Zur Wahrheit und Freundschaft
Q114497822	loge	
Q114497922	loge	
Q114839735	loge	
Q1155329	obédience	Grande Loge du Chili
Q1155337	obédience	Grand Orient Ibérique
Q1156404	obédience	Grande Loge constutionnelle du Pérou
Q115641807	loge	Bexhill Masonic Temple
Q116185655	loge	
Q116245989	loge	Lodge "To the Three Roses", Hamburg
Q116254166	loge	Lodge "Apollo", St. Petersburg
Q116259687	loge	
Q116622744	loge	Hiram Abif 80 Lodge
Q116642903	loge	loge Astrée
Q116875171	loge	
Q117039064	loge	loge Akademos
Q117039202	loge	loge Athéna
Q117039211	loge	loge Montmorency-Luxembourg
Q117042549	loge	L'Arche de paix
Q117047809	loge	Paix et Liberté
Q117048468	loge	Bienfaisance
Q117048574	loge	Justice et Paix
Q117048584	loge	loge Kaducée
Q117256322	loge	
Q11737130	loge	
Q11762015	loge	
Q117804352	loge	
Q117804439	loge	
Q117804466	loge	
Q117804502	loge	
Q117804571	loge	
Q11811267	loge	
Q11827724	loge	Prometea
Q11829234	loge	
Q118423853	loge	
Q118732600	loge	
Q11924600	obédience	Grand Orient of Catalonia
Q119458679	loge	Urania zur Eintracht
Q12002470	loge	
Q12002471	loge	
Q12002472	loge	
Q12002474	loge	
