year	qid	label
1986	Q116273545	World Economic Forum Annual Meeting 1986
1987	Q116273538	World Economic Forum Annual Meeting 1987
1988	Q114717204	World Economic Forum Annual Meeting 1988
1989	Q114717205	World Economic Forum Annual Meeting 1989
1990	Q114717206	World Economic Forum Annual Meeting 1990
1991	Q114717207	World Economic Forum Annual Meeting 1991
1992	Q114717208	World Economic Forum Annual Meeting 1992
1993	Q114717209	World Economic Forum Annual Meeting 1993
1994	Q114717210	World Economic Forum Annual Meeting 1994
1995	Q114717211	World Economic Forum Annual Meeting 1995
1996	Q114717212	World Economic Forum Annual Meeting 1996
1997	Q114717213	World Economic Forum Annual Meeting 1997
1998	Q114717214	World Economic Forum Annual Meeting 1998
1999	Q114717215	World Economic Forum Annual Meeting 1999
2000	Q114717216	World Economic Forum Annual Meeting 2000
2001	Q114717217	World Economic Forum Annual Meeting 2001
2002	Q114717218	World Economic Forum Annual Meeting 2002
2003	Q114717219	World Economic Forum Annual Meeting 2003
2004	Q114717220	World Economic Forum Annual Meeting 2004
2005	Q114717221	World Economic Forum Annual Meeting 2005
2006	Q114717222	World Economic Forum Annual Meeting 2006
2007	Q114717223	World Economic Forum Annual Meeting 2007
2008	Q114717224	World Economic Forum Annual Meeting 2008
2009	Q114717225	World Economic Forum Annual Meeting 2009
2010	Q114717226	World Economic Forum Annual Meeting 2010
2011	Q114717227	World Economic Forum Annual Meeting 2011
2012	Q114717228	World Economic Forum Annual Meeting 2012
2013	Q114717229	World Economic Forum Annual Meeting 2013
2014	Q114717230	World Economic Forum Annual Meeting 2014
2015	Q114717231	World Economic Forum Annual Meeting 2015
2016	Q114717232	World Economic Forum Annual Meeting 2016
2017	Q114717233	World Economic Forum Annual Meeting 2017
2018	Q114717234	World Economic Forum Annual Meeting 2018
2019	Q114717235	World Economic Forum Annual Meeting 2019
2020	Q114717236	World Economic Forum Annual Meeting 2020
2021	Q114717237	World Economic Forum Annual Meeting 2021
2022	Q114717238	World Economic Forum Annual Meeting 2022
2023	Q116227461	World Economic Forum Annual Meeting 2023
2024	Q130581184	World Economic Forum Annual Meeting 2024
2025	Q131827908	World Economic Forum Annual Meeting 2025
2026	Q137829647	World Economic Forum Annual Meeting 2026
